"Id","Eventable type","Eventable","Event type","Title","Description","Date","Url"
"608","Legislation","2026","Passed/Approved","Law passed","","04/12/2015",""
"607","Legislation","8647","Passed/Approved","Law passed","","27/11/2015",""
"606","Legislation","8673","Passed/Approved","Law passed","","02/03/2018",""
"605","Legislation","4701","Passed/Approved","Law passed","","25/12/2011",""
"604","Legislation","8645","Passed/Approved","Law passed","","13/05/2016",""
"603","Legislation","1372","Passed/Approved","Law passed","","08/02/2012",""
"602","Legislation","8262","Passed/Approved","Law passed","","10/04/2016",""
"601","Legislation","4019","Passed/Approved","Law passed","","17/10/2008",""
"600","Legislation","4018","Passed/Approved","Law passed","","06/06/2008",""
"599","Legislation","2058","Passed/Approved","Law passed","","14/06/2002",""
"598","Legislation","2041","Passed/Approved","Law passed","","28/10/2007",""
"597","Legislation","8648","Passed/Approved","Law passed","","01/04/2015",""
"596","Legislation","1403","Passed/Approved","Law passed","","25/12/2000",""
"595","Legislation","1817","Passed/Approved","Law passed","","14/07/2011",""
"594","Legislation","1376","Passed/Approved","Law passed","","28/11/2010",""
"593","Legislation","1117","Passed/Approved","Law passed","","31/08/2012",""
"592","Legislation","1311","Passed/Approved","Law passed","","05/11/2014",""
"591","Legislation","8267","Passed/Approved","Law passed","","25/12/1993",""
"590","Legislation","1567","Passed/Approved","Law passed","","10/04/2013",""
"589","Legislation","1559","Passed/Approved","Law passed","","15/04/2014",""
"588","Legislation","1575","Passed/Approved","Law passed","","17/03/2005",""
"587","Legislation","1570","Passed/Approved","Law passed","","26/11/2010",""
"586","Legislation","1564","Passed/Approved","Law passed","","01/11/2009",""
"585","Legislation","1563","Passed/Approved","Law passed","","03/11/2009",""
"584","Legislation","1562","Passed/Approved","Law passed","","18/09/2009",""
"583","Legislation","1526","Passed/Approved","Law passed","","11/06/1976",""
"582","Legislation","1524","Passed/Approved","Law passed","","17/12/2004",""
"581","Legislation","1525","Passed/Approved","Law passed","","29/06/1990",""
"580","Legislation","1523","Passed/Approved","Law passed","","27/06/2008",""
"579","Legislation","1520","Passed/Approved","Law passed","","24/06/2011",""
"578","Legislation","1204","Passed/Approved","Law passed","","25/12/2009",""
"577","Legislation","2046","Passed/Approved","Law passed","","24/02/2016",""
"576","Legislation","8654","Passed/Approved","Law passed","","30/12/2016",""
"575","Legislation","1160","Passed/Approved","Law passed","","25/12/2008",""
"574","Legislation","1151","Passed/Approved","Law passed","","11/06/2014",""
"573","Legislation","8266","Passed/Approved","Law passed","","25/12/2004",""
"572","Legislation","1411","Passed/Approved","Law passed","","01/05/2007",""
"571","Legislation","1408","Passed/Approved","Law passed","","31/03/2012",""
"570","Legislation","1401","Passed/Approved","Law passed","","28/12/2000",""
"569","Legislation","1400","Passed/Approved","Law passed","","25/12/2002",""
"568","Legislation","1398","Passed/Approved","Law passed","","25/12/2002",""
"567","Legislation","1397","Passed/Approved","Law passed","","23/08/2004",""
"566","Legislation","1395","Passed/Approved","Law passed","","25/12/2005",""
"565","Legislation","1391","Passed/Approved","Law passed","","25/12/2008",""
"564","Legislation","1390","Passed/Approved","Law passed","","03/08/2009",""
"563","Legislation","1384","Passed/Approved","Law passed","","20/08/2014",""
"562","Legislation","1383","Passed/Approved","Law passed","","25/12/2014",""
"561","Legislation","8265","Passed/Approved","Law passed","","25/12/2004",""
"560","Legislation","8264","Passed/Approved","Law passed","","02/01/2004",""
"559","Legislation","8263","Passed/Approved","Law passed","","11/03/2011",""
"558","Legislation","1373","Passed/Approved","Law passed","","01/04/2012",""
"557","Legislation","1371","Passed/Approved","Law passed","","13/01/2013",""
"556","Legislation","1314","Passed/Approved","Law passed","","12/03/2011",""
"555","Legislation","1313","Passed/Approved","Law passed","","01/11/2013",""
"554","Legislation","1197","Passed/Approved","Law passed","","28/05/2014",""
"553","Legislation","1392","Passed/Approved","Law passed","","25/12/2007",""
"552","Legislation","1396","Passed/Approved","Law passed","","25/12/2005",""
"551","Legislation","1394","Passed/Approved","Law passed","","19/02/2007",""
"550","Legislation","1214","Passed/Approved","Law passed","","31/10/2003",""
"549","Legislation","1210","Passed/Approved","Law passed","","23/04/2009",""
"548","Legislation","1208","Passed/Approved","Law passed","","25/12/2009",""
"547","Legislation","1206","Passed/Approved","Law passed","","23/04/2009",""
"546","Legislation","1201","Passed/Approved","Law passed","","04/12/2012",""
"545","Legislation","1200","Passed/Approved","Law passed","","20/12/2013",""
"544","Legislation","1199","Passed/Approved","Law passed","","08/07/2013",""
"543","Legislation","1198","Passed/Approved","Law passed","","16/04/2014",""
"542","Legislation","1106","Passed/Approved","Law passed","","14/10/2011",""
"541","Legislation","1386","Passed/Approved","Law passed","","02/01/2013",""
"540","Legislation","1157","Passed/Approved","Law passed","","25/12/2009",""
