"Id","Name","External url","Language","Last verified on","Documentable id","Documentable type"
"2670","Judgment","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2018/20180118_C-5817_judgment.pdfhttp://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2018/20180118_C-5817_judgment.pdf","English","05/02/2019","7355","Litigation"
"2662","Decision","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2011/20111222_2011-NSWCA-424-2010-NSWLEC-34-Australia_decision-1.pdf","English","19/07/0003","7333","Litigation"
"2336","#N/A","http://dziennikustaw.gov.pl/du/2016/831(13-mar-18)","","03/09/2018","1561","Legislation"
"2219","Full text","https://www.google.co.uk/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwi57cqZ2vnTAhXQZ1AKHY0xB9sQFggjMAA&url=http%3A%2F%2Fenergy.gov.il%2FEnglish%2FLegislationLibraryE1%2FECElectricHeating.doc&usg=AFQjCNFx3X4ZYayQV9AGtfAHhNAHklWHWA&sig2=Q54A9mg0pnDP8bBJk9RvGg(18.05.17)","","03/09/2018","8267","Legislation"
"2075","Full text - Japanese and English","http://www.japaneselawtranslation.go.jp/law/detail/?ft=2&yo=???&x=75&y=12&ia=03&ky=&page=1&re=02","","03/09/2018","8648","Legislation"
"1969","Full text","https://www.minminas.gov.co/documents/10180/170046/Decreto+%F2nico+Reglamentario+Sector+Minas+y+Energ%92a.pdf/8f19ed1d-16a0-4a09-8213-ae612e424392(7-mar-18),https://www.minminas.gov.co/documents/10180/23517/47726-dec_0570_230318.pdf(17-apr-18)","","03/09/2018","8597","Legislation"
"1943","Full text","http://www.env.go.jp/en/headline/2238.html","","03/09/2018","8645","Legislation"
"1927","Full text - Report on Assessment of Impacts of Climate Change in Japan and Future Challenges","http://www.env.go.jp/en/focus/docs/files/20150300-100.pdf","","03/09/2018","8647","Legislation"
"1926","Full text - National Plan","http://www.env.go.jp/en/focus/docs/files/20151127-101.pdf","","03/09/2018","8647","Legislation"
"1553","Full text","http://orka.sejm.gov.pl/opinie8.nsf/nazwa/1722_u/$file/1722_u.pdf(9-mar-18)","","03/09/2018","8595","Legislation"
"1552","Full text","http://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32014L0094(7-mar-18)","","03/09/2018","8596","Legislation"
"1551","Full text","http://servicios.minminas.gov.co/compilacionnormativa/docs/pdf/ley_1819_2016.pdf(7-mar-18),http://www.secretariasenado.gov.co/senado/basedoc/ley_1819_2016.html(7-mar-18),","","03/09/2018","8598","Legislation"
"1540","Long-term Energy Supply and Demand Outlook","http://www.meti.go.jp/english/press/2015/0716_01.html","","03/09/2018","8646","Legislation"
"1539","Full text - Strategic Energy Plan","http://www.enecho.meti.go.jp/en/category/others/basic_plan/pdf/4th_strategic_energy_plan.pdf","","03/09/2018","8646","Legislation"
"1499","Full text - Japanese and English","http://www.japaneselawtranslation.go.jp/law/detail/?ft=2&yo=?????????&x=0&y=0&ia=03&ky=&page=2&re=02","","03/09/2018","8649","Legislation"
"1498","Overview - English","http://www.mlit.go.jp/common/001134876.pdf","","03/09/2018","8650","Legislation"
"1470","Full text","https://lovdata.no/dokument/NL/lov/1981-03-13-6#KAPITTEL_4","","03/09/2018","8687","Legislation"
"1469","Full text","http://www.npd.no/en/Regulations/Acts/CO2-discharge-tax/","","03/09/2018","8688","Legislation"
"1468","Full text","https://lovdata.no/dokument/NL/lov/2017-06-16-60","","03/09/2018","8689","Legislation"
"1466","Full text","https://www.regjeringen.no/no/dokumenter/meld.-st.-41-20162017/id2557401/","","03/09/2018","8690","Legislation"
"1425","Full text","http://www.env.go.jp/earth/tekiou/tekiouhou_jyoubun_r1.pdf","","11/10/0018","8736","Legislation"
"1412","Full text","https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2018.156.01.0026.01.ENG","","08/12/2019","8746","Legislation"
"1393","Full Text (PDF)","https://www.preventionweb.net/files/18017_nationalstrategydisasterresilience.pdf","","19/04/0015","8771","Legislation"
"1392","Full text","https://www.environment.gov.au/climate-change/climate-solutions-package","","15/04/2019","8773","Legislation"
"1390","Full text (2015) (PDF)","https://www.environment.gov.au/system/files/resources/d98b3e53-146b-4b9c-a84a-2a22454b9a83/files/reef-2050-long-term-sustainability-plan.pdf","","25/04/2019","8779","Legislation"
